# コードＩＤ：CDAC0138  コード名：施設分野、業務内容コード  説明：国土交通省告示に基づく技術者資格評価業務（施設分野／業務）を示すコード。
# コードＩＤ,値,デコード文字列（上2桁）,デコード文字列（下2桁）
CDAC3290,11917,水系,一級水系 一級河川 直轄区間,番匠川水系
CDAC3290,11918,水系,一級水系 一級河川 直轄区間,大野川水系
CDAC3290,11919,水系,一級水系 一級河川 直轄区間,大分川水系
CDAC3290,11920,水系,一級水系 一級河川 直轄区間,山国川水系
CDAC3290,12101,水系,一級水系 一級河川 指定区間,天塩川水系
CDAC3290,12102,水系,一級水系 一級河川 指定区間,留萌川水系
CDAC3290,12103,水系,一級水系 一級河川 指定区間,石狩川水系
CDAC3290,12104,水系,一級水系 一級河川 指定区間,尻別川水系
CDAC3290,12105,水系,一級水系 一級河川 指定区間,後志利別川水系
CDAC3290,12106,水系,一級水系 一級河川 指定区間,鵡川水系
CDAC3290,12107,水系,一級水系 一級河川 指定区間,沙流川水系
CDAC3290,12108,水系,一級水系 一級河川 指定区間,十勝川水系
CDAC3290,12109,水系,一級水系 一級河川 指定区間,釧路川水系
CDAC3290,12110,水系,一級水系 一級河川 指定区間,網走川水系
CDAC3290,12111,水系,一級水系 一級河川 指定区間,常呂川水系
CDAC3290,12112,水系,一級水系 一級河川 指定区間,湧別川水系
CDAC3290,12113,水系,一級水系 一級河川 指定区間,渚滑川水系
CDAC3290,12201,水系,一級水系 一級河川 指定区間,阿武隈川水系
CDAC3290,12202,水系,一級水系 一級河川 指定区間,名取川水系
CDAC3290,12203,水系,一級水系 一級河川 指定区間,鳴瀬川水系
CDAC3290,12204,水系,一級水系 一級河川 指定区間,北上川水系
CDAC3290,12205,水系,一級水系 一級河川 指定区間,馬淵川水系
CDAC3290,12206,水系,一級水系 一級河川 指定区間,高瀬川水系
CDAC3290,12207,水系,一級水系 一級河川 指定区間,岩木川水系
CDAC3290,12208,水系,一級水系 一級河川 指定区間,米代川水系
CDAC3290,12209,水系,一級水系 一級河川 指定区間,雄物川水系
CDAC3290,12210,水系,一級水系 一級河川 指定区間,子吉川水系
CDAC3290,12211,水系,一級水系 一級河川 指定区間,最上川水系
CDAC3290,12212,水系,一級水系 一級河川 指定区間,赤川水系
CDAC3290,12301,水系,一級水系 一級河川 指定区間,久慈川水系
CDAC3290,12302,水系,一級水系 一級河川 指定区間,那珂川水系
CDAC3290,12303,水系,一級水系 一級河川 指定区間,利根川水系
CDAC3290,12304,水系,一級水系 一級河川 指定区間,荒川水系
CDAC3290,12305,水系,一級水系 一級河川 指定区間,多摩川水系
CDAC3290,12306,水系,一級水系 一級河川 指定区間,鶴見川水系
CDAC3290,12307,水系,一級水系 一級河川 指定区間,相模川水系
CDAC3290,12308,水系,一級水系 一級河川 指定区間,富士川水系
CDAC3290,12401,水系,一級水系 一級河川 指定区間,荒川水系
CDAC3290,12402,水系,一級水系 一級河川 指定区間,阿賀野川水系
CDAC3290,12403,水系,一級水系 一級河川 指定区間,信濃川水系
CDAC3290,12404,水系,一級水系 一級河川 指定区間,関川水系
CDAC3290,12405,水系,一級水系 一級河川 指定区間,姫川水系
CDAC3290,12406,水系,一級水系 一級河川 指定区間,黒部川水系
CDAC3290,12407,水系,一級水系 一級河川 指定区間,常願寺川水系
CDAC3290,12408,水系,一級水系 一級河川 指定区間,神通川水系
CDAC3290,12409,水系,一級水系 一級河川 指定区間,庄川水系
CDAC3290,12410,水系,一級水系 一級河川 指定区間,小矢部川水系
CDAC3290,12411,水系,一級水系 一級河川 指定区間,手取川水系
CDAC3290,12412,水系,一級水系 一級河川 指定区間,梯川水系
CDAC3290,12501,水系,一級水系 一級河川 指定区間,狩野川水系
CDAC3290,12502,水系,一級水系 一級河川 指定区間,安倍川水系
CDAC3290,12503,水系,一級水系 一級河川 指定区間,大井川水系
CDAC3290,12504,水系,一級水系 一級河川 指定区間,菊川水系
CDAC3290,12505,水系,一級水系 一級河川 指定区間,天竜川水系
CDAC3290,12506,水系,一級水系 一級河川 指定区間,豊川水系
CDAC3290,12507,水系,一級水系 一級河川 指定区間,矢作川水系
CDAC3290,12508,水系,一級水系 一級河川 指定区間,庄内川水系
CDAC3290,12509,水系,一級水系 一級河川 指定区間,木曽川水系
CDAC3290,12510,水系,一級水系 一級河川 指定区間,鈴鹿川水系
CDAC3290,12511,水系,一級水系 一級河川 指定区間,雲出川水系
CDAC3290,12512,水系,一級水系 一級河川 指定区間,櫛田川水系
CDAC3290,12513,水系,一級水系 一級河川 指定区間,宮川水系
CDAC3290,12601,水系,一級水系 一級河川 指定区間,新宮川水系
CDAC3290,12602,水系,一級水系 一級河川 指定区間,紀の川水系
CDAC3290,12603,水系,一級水系 一級河川 指定区間,大和川水系
CDAC3290,12604,水系,一級水系 一級河川 指定区間,淀川水系
CDAC3290,12605,水系,一級水系 一級河川 指定区間,加古川水系
CDAC3290,12606,水系,一級水系 一級河川 指定区間,揖保川水系
